Temperature,Humidity,Wind Speed,Precipitation (%),Atmospheric Pressure,UV Index,Visibility (km),Season_Spring,Season_Summer,Season_Winter,Cloud Cover_cloudy,Cloud Cover_overcast,Cloud Cover_partly cloudy
30.0,71,9.5,45.0,1003.98,4,5.0,False,False,True,False,False,True
25.0,69,6.5,13.0,1014.51,7,8.5,False,False,True,False,False,False
33.0,74,20.0,89.0,1000.99,2,4.0,False,True,False,False,True,False
34.0,57,6.5,12.0,1001.34,1,9.0,False,False,False,False,False,True
26.0,97,20.5,81.0,1005.35,12,5.5,True,False,False,False,True,False
20.0,51,6.5,64.0,807.2,14,9.0,False,True,False,False,False,True
11.0,66,6.0,49.0,1015.45,3,5.0,True,False,False,False,False,True
12.0,33,10.0,84.0,862.81,2,17.0,False,False,False,False,True,False
25.0,49,1.5,17.0,1015.04,9,5.5,False,True,False,False,False,False
29.0,78,10.0,41.0,1009.31,4,8.0,True,False,False,False,True,False
11.0,53,4.5,35.0,1003.66,2,5.0,False,False,True,False,True,False
17.0,59,3.5,41.0,1015.78,2,6.0,False,False,True,False,False,True
87.0,83,6.5,77.0,1026.77,7,11.5,False,False,False,False,False,False
27.0,30,12.5,26.0,1029.39,3,19.5,True,False,False,True,False,False
42.0,50,1.0,11.0,1022.88,11,5.5,False,False,False,False,False,False
26.0,94,15.0,62.0,990.51,0,3.0,False,False,True,False,True,False
13.0,66,12.5,58.0,1007.4,0,4.0,False,True,False,False,False,True
11.0,76,7.5,99.0,994.92,1,3.5,True,False,False,False,True,False
-2.0,82,18.5,64.0,982.39,0,1.5,False,False,True,False,True,False
20.0,41,2.5,11.0,1014.53,10,6.0,False,False,False,False,False,False
24.0,47,3.0,16.0,1029.8,8,5.0,False,False,False,False,False,False
24.0,56,14.5,11.0,1001.54,2,8.0,False,False,True,False,False,True
10.0,79,16.0,83.0,992.81,1,5.0,False,False,False,False,True,False
32.0,71,14.0,24.0,1000.28,4,6.0,False,True,False,False,False,True
26.0,65,18.5,58.0,1018.62,1,4.0,False,True,False,False,True,False
42.0,36,0.0,6.0,1025.66,11,9.0,False,True,False,False,False,False
42.0,20,6.5,17.0,1015.09,9,10.0,False,True,False,False,False,True
25.0,67,7.0,49.0,1010.71,1,6.5,False,False,False,False,False,True
38.0,22,5.5,10.0,1021.59,9,8.5,True,False,False,False,False,False
18.0,66,8.0,72.0,1003.03,0,1.5,False,False,False,False,True,False
1.0,82,13.0,99.0,988.25,10,1.5,False,False,True,False,True,False
33.0,57,4.0,14.0,1020.51,10,9.5,False,True,False,False,False,False
24.0,71,9.5,82.0,996.53,3,3.5,False,False,False,False,False,True
-10.0,27,3.0,92.0,996.43,10,1.0,False,False,True,True,False,False
-15.0,54,2.0,47.0,830.65,1,8.5,False,False,True,False,False,True
-6.0,78,20.0,74.0,986.62,0,2.5,False,False,True,False,True,False
26.0,71,12.5,96.0,1085.68,4,18.0,False,True,False,False,True,False
-10.0,98,12.0,91.0,981.61,0,1.5,False,False,True,False,False,True
25.0,71,5.5,42.0,1016.7,2,8.5,False,True,False,False,False,True
20.0,53,8.5,8.0,1020.8,7,6.0,False,False,False,False,False,True
19.0,76,4.5,29.0,1009.03,3,7.0,False,True,False,False,True,False
22.0,98,9.5,95.0,1017.2,1,3.5,True,False,False,False,False,True
27.0,53,4.5,11.0,1010.61,9,8.0,False,False,False,False,False,False
30.0,70,7.5,35.0,1006.08,2,6.5,True,False,False,False,True,False
35.0,26,8.5,14.0,1015.36,7,8.5,False,False,True,False,False,False
29.0,73,6.5,105.0,1025.82,12,5.0,False,False,True,False,False,False
-1.0,78,6.5,93.0,981.14,1,4.0,False,False,True,False,True,False
2.0,91,12.0,89.0,984.48,0,1.0,False,False,True,False,False,True
31.0,81,15.0,57.0,998.72,3,4.0,False,True,False,False,True,False
30.0,81,10.5,75.0,1009.64,0,4.0,False,False,False,False,True,False
30.0,78,14.0,34.0,1004.74,4,8.5,True,False,False,False,True,False
26.0,73,13.5,29.0,1012.02,1,9.0,False,True,False,False,True,False
25.0,37,0.0,5.0,1014.6,5,8.5,False,False,True,False,False,False
48.0,33,6.5,55.0,927.67,5,1.0,False,False,True,False,True,False
-9.0,90,10.0,63.0,998.1,0,3.5,False,False,True,False,True,False
26.0,62,15.5,85.0,1018.07,0,3.5,False,False,True,False,True,False
-15.0,42,8.5,54.0,1188.64,0,15.0,False,False,True,False,False,True
21.0,76,3.0,101.0,1010.35,1,10.0,False,False,False,False,True,False
24.0,46,3.5,11.0,1017.92,5,7.5,False,True,False,False,False,False
36.0,26,13.5,73.0,924.1,7,16.5,False,False,True,True,False,False
28.0,54,0.0,28.0,1002.12,3,6.0,True,False,False,False,True,False
10.0,70,12.0,30.0,1013.4,3,6.0,False,False,True,False,True,False
-3.0,63,14.0,62.0,982.54,1,2.5,False,False,True,False,True,False
15.0,56,12.5,39.0,1011.58,3,6.0,True,False,False,False,True,False
-4.0,79,19.0,98.0,980.71,1,4.0,False,False,True,False,True,False
54.0,84,10.0,93.0,1000.81,8,1.0,False,False,True,False,True,False
26.0,69,9.0,28.0,1001.26,2,5.0,True,False,False,False,False,True
16.0,94,17.0,90.0,1010.41,0,4.5,False,False,False,False,True,False
27.0,57,2.0,1.0,1017.64,10,6.0,False,False,True,False,False,False
-5.0,107,31.0,82.0,985.29,5,0.5,False,False,True,False,True,False
28.0,34,5.0,6.0,1025.97,10,8.0,False,False,False,False,False,True
46.0,101,16.0,80.0,1015.06,11,1.5,False,False,False,False,False,True
3.0,64,0.0,96.0,989.42,0,2.0,False,False,True,False,True,False
24.0,28,4.0,3.0,1026.76,9,6.0,False,False,True,False,False,False
40.0,69,3.0,7.0,1011.66,5,6.5,True,False,False,False,False,True
26.0,37,0.5,13.0,1018.5,6,7.5,False,False,True,False,False,False
37.0,61,2.0,2.0,1013.04,7,7.5,False,False,True,False,False,False
30.0,39,9.0,3.0,1020.46,10,7.5,False,False,False,False,False,False
32.0,50,1.0,25.0,1013.75,2,6.0,False,False,False,False,False,True
0.0,87,19.0,79.0,988.32,0,4.0,False,False,True,False,True,False
15.0,63,8.0,12.0,1013.24,3,5.0,False,False,True,False,False,True
24.0,94,11.5,64.0,1015.5,3,5.0,False,False,True,False,False,True
28.0,65,5.5,64.0,1004.68,0,4.0,True,False,False,False,True,False
47.0,20,14.5,67.0,809.08,13,5.0,False,True,False,True,False,False
-4.0,73,0.0,81.0,892.31,14,15.5,False,True,False,False,True,False
24.0,62,6.5,72.0,1017.92,1,2.0,True,False,False,False,True,False
28.0,33,2.0,45.0,1131.31,6,10.0,False,False,True,False,True,False
45.0,81,6.5,84.0,1024.04,6,11.0,False,False,True,False,False,True
30.0,72,18.5,72.0,999.1,0,2.0,False,False,False,False,True,False
3.0,97,3.0,66.0,991.12,1,3.5,False,False,True,False,True,False
26.0,73,2.5,34.0,1001.41,3,8.0,False,False,True,False,True,False
31.0,92,19.0,71.0,1018.69,1,4.5,False,False,False,False,False,True
-7.0,61,13.0,51.0,996.67,0,3.5,False,False,True,False,True,False
38.0,76,25.5,104.0,1003.56,9,4.0,False,False,True,False,True,False
29.0,57,6.0,8.0,1029.78,10,9.5,False,False,True,False,False,False
33.0,63,1.5,16.0,1025.03,7,10.0,False,False,False,False,False,False
75.0,78,18.0,109.0,1020.33,10,2.0,False,False,True,False,False,False
41.0,66,8.0,11.0,1020.81,11,9.0,False,False,True,False,False,False
14.0,73,5.0,84.0,1007.32,0,2.0,False,True,False,False,True,False
23.0,74,19.5,92.0,998.93,1,2.0,False,False,True,False,True,False
26.0,67,10.5,35.0,1011.74,2,5.0,False,True,False,False,False,True
-4.0,65,7.5,58.0,989.56,1,4.5,False,False,True,False,False,True
-9.0,84,4.5,83.0,981.93,0,3.5,False,False,True,False,True,False
25.0,51,5.0,18.0,1019.65,7,7.0,False,False,False,False,False,False
20.0,70,7.5,72.0,1009.77,3,2.0,False,False,False,False,True,False
-9.0,81,2.0,57.0,994.24,1,1.0,False,False,True,False,True,False
70.0,92,8.0,74.0,1011.57,7,8.0,False,True,False,False,False,True
34.0,74,8.5,21.0,1016.79,2,7.5,False,False,True,False,False,True
-2.0,71,2.0,50.0,982.43,0,1.0,False,False,True,False,True,False
-2.0,96,13.5,77.0,990.92,1,4.5,False,False,True,False,True,False
-1.0,91,24.5,100.0,990.98,13,3.5,False,False,True,False,True,False
23.0,40,6.5,7.0,1024.16,9,5.5,False,False,True,False,False,False
39.0,63,8.0,3.0,1021.78,8,5.5,False,True,False,False,False,False
35.0,66,6.5,1.0,1020.63,5,6.5,False,True,False,False,False,False
27.0,62,13.0,97.0,996.09,2,1.5,False,True,False,False,False,True
-5.0,63,9.5,87.0,998.67,1,2.0,False,False,True,False,True,False
21.0,99,16.0,60.0,1011.58,2,1.0,False,False,True,False,False,True
23.0,84,15.0,94.0,1004.56,3,4.5,False,True,False,False,True,False
-8.0,93,4.5,54.0,996.23,1,2.0,False,False,True,False,True,False
-6.0,85,15.0,89.0,996.77,1,2.5,False,False,True,False,True,False
42.0,35,7.0,2.0,1028.81,8,9.5,False,False,False,False,False,True
-6.0,77,16.5,64.0,990.58,0,3.0,False,False,True,False,True,False
-9.0,71,10.0,84.0,989.79,0,3.0,False,False,True,False,True,False
21.0,73,0.0,11.0,1015.37,4,6.0,True,False,False,False,True,False
41.0,85,9.0,101.0,1017.89,3,7.5,False,True,False,False,True,False
2.0,60,5.0,60.0,990.59,0,4.5,False,False,True,False,True,False
-4.0,74,7.0,63.0,989.74,0,2.0,False,False,True,False,True,False
31.0,64,9.0,52.0,1004.08,2,4.0,False,False,False,False,False,True
22.0,87,18.5,54.0,1003.13,1,2.0,False,False,True,False,True,False
33.0,95,4.5,79.0,1010.1,14,10.0,False,False,True,False,False,True
19.0,70,6.0,64.0,1004.27,1,4.5,False,False,False,False,False,True
24.0,70,6.0,43.0,1003.91,1,8.5,False,True,False,False,False,True
30.0,70,1.0,45.0,1017.84,4,8.5,True,False,False,False,True,False
38.0,49,4.0,0.0,1027.97,10,6.0,False,False,False,False,False,True
-11.0,34,2.5,84.0,881.02,13,15.5,True,False,False,False,True,False
25.0,59,3.5,22.0,1010.7,2,8.0,False,False,True,False,True,False
88.0,93,6.5,108.0,1014.75,1,8.5,False,False,False,False,False,True
20.0,51,2.5,10.0,1015.27,5,8.0,False,False,True,False,False,False
33.0,45,9.5,13.0,1015.1,9,5.5,True,False,False,False,False,False
33.0,65,0.5,5.0,1024.2,6,8.5,False,True,False,False,False,True
25.0,23,9.5,18.0,1023.26,5,5.0,False,False,False,False,False,True
-4.0,102,36.0,79.0,997.44,12,3.5,False,False,True,False,False,True
16.0,50,9.0,16.0,1001.3,3,7.0,False,True,False,False,True,False
13.0,48,4.0,65.0,929.98,11,16.0,False,True,False,False,True,False
60.0,91,15.0,100.0,1022.88,10,13.0,False,True,False,False,False,True
3.0,96,13.0,51.0,989.09,1,1.5,False,False,True,False,True,False
-8.0,71,8.5,77.0,986.37,1,4.5,False,False,True,False,False,True
29.0,53,2.0,38.0,1003.58,4,7.5,False,True,False,False,True,False
27.0,78,8.5,82.0,1014.79,1,4.5,False,False,False,False,True,False
21.0,20,9.0,6.0,1017.98,5,8.0,True,False,False,False,False,True
35.0,33,7.0,5.0,1025.51,5,7.5,False,False,True,False,False,True
1.0,100,13.0,96.0,986.26,11,2.5,False,False,True,False,True,False
11.0,103,8.0,108.0,1017.03,7,9.0,False,True,False,False,False,False
34.0,69,1.0,24.0,1016.93,3,8.0,False,False,True,False,False,True
23.0,81,24.0,93.0,1006.73,11,1.0,False,False,False,False,True,False
49.0,73,1.5,101.0,1017.37,1,7.5,False,True,False,False,False,False
-7.0,73,3.0,83.0,991.11,0,1.5,False,False,True,False,False,True
-5.0,79,2.0,61.0,982.37,1,5.0,False,False,True,False,True,False
24.0,67,4.5,9.0,1012.05,11,8.5,False,False,True,False,False,True
14.0,67,14.5,33.0,1012.13,1,5.5,False,True,False,False,True,False
23.0,57,1.0,14.0,1018.4,11,9.0,True,False,False,False,False,False
34.0,53,6.5,41.0,1013.81,1,8.0,False,False,True,False,False,True
65.0,101,13.5,74.0,994.44,6,2.5,False,False,True,False,True,False
32.0,68,9.0,28.0,1006.39,1,9.0,True,False,False,False,False,True
41.0,58,1.5,7.0,1024.84,8,7.5,False,False,False,False,False,False
24.0,57,12.5,14.0,1006.1,4,7.0,False,False,False,False,True,False
4.0,107,26.5,95.0,998.68,8,2.5,False,False,True,False,True,False
-2.0,67,2.0,98.0,998.14,0,4.0,False,False,True,False,True,False
14.0,76,6.0,39.0,1019.0,3,5.5,False,False,False,False,False,True
17.0,92,20.5,70.0,1013.39,14,7.5,False,False,False,False,False,True
31.0,40,8.5,8.0,1018.13,10,8.5,False,False,False,False,False,False
2.0,80,16.0,77.0,996.19,4,1.5,False,False,True,False,True,False
13.0,96,7.0,50.0,1012.72,2,3.0,False,False,True,False,False,True
41.0,60,6.5,3.0,1022.31,9,7.5,False,False,True,False,False,True
28.0,29,2.0,13.0,1029.04,10,5.5,False,True,False,False,False,False
-9.0,75,4.0,58.0,984.92,1,5.0,False,False,True,False,True,False
55.0,79,8.0,92.0,1011.51,10,1.0,False,False,True,False,False,True
18.0,52,6.5,44.0,1010.98,3,8.0,True,False,False,False,False,True
17.0,91,5.5,74.0,1013.94,9,7.5,True,False,False,False,True,False
-10.0,76,16.0,97.0,995.34,1,2.5,False,False,True,False,True,False
30.0,84,5.5,106.0,1002.48,6,2.5,True,False,False,False,False,True
15.0,69,1.5,42.0,1007.18,3,6.5,False,False,False,False,False,True
10.0,61,13.0,11.0,1018.34,4,7.0,False,False,True,False,False,True
18.0,34,11.5,93.0,830.46,7,13.0,True,False,False,False,False,True
25.0,70,6.0,29.0,1013.37,4,5.5,False,True,False,False,False,True
11.0,67,1.5,31.0,918.78,11,2.5,False,False,False,True,False,False
23.0,60,5.0,9.0,1011.77,6,7.0,True,False,False,False,False,False
25.0,76,5.0,63.0,1004.27,1,4.0,False,False,True,False,False,True
-2.0,73,11.5,53.0,988.55,0,2.0,False,False,True,False,True,False
34.0,30,0.5,1.0,1018.1,10,8.5,False,False,False,False,False,False
30.0,76,14.5,25.0,1015.22,2,8.5,True,False,False,False,False,True
29.0,86,7.5,72.0,990.49,0,2.5,False,False,False,False,True,False
12.0,70,2.0,42.0,1008.0,1,7.0,True,False,False,False,False,True
5.0,93,1.0,77.0,987.36,1,2.0,False,False,True,False,True,False
15.0,65,7.0,70.0,1018.91,0,2.0,False,False,False,False,True,False
30.0,73,6.0,78.0,991.57,3,4.0,False,True,False,False,True,False
27.0,56,2.0,1.0,1011.71,5,7.0,False,True,False,False,False,False
31.0,76,14.0,20.0,1010.76,3,7.5,False,False,False,False,True,False
22.0,71,9.0,38.0,1010.86,2,7.5,False,False,True,False,False,True
29.0,67,8.5,47.0,1006.38,4,8.0,False,False,False,False,False,True
15.0,66,12.0,96.0,1002.81,1,2.0,False,False,True,False,True,False
-7.0,106,15.0,76.0,998.14,11,0.5,False,False,True,False,True,False
15.0,79,16.0,72.0,997.07,3,4.0,False,False,True,False,False,True
70.0,81,3.5,71.0,1021.7,1,10.5,True,False,False,False,False,False
3.0,77,12.0,59.0,991.63,0,4.0,False,False,True,False,True,False
38.0,22,5.0,7.0,1016.55,8,9.0,False,False,False,False,False,False
36.0,37,7.5,1.0,1025.02,6,9.0,False,True,False,False,False,False
22.0,37,0.5,0.0,1024.23,8,5.5,False,False,False,False,False,True
10.0,80,25.0,105.0,1004.03,14,9.0,False,True,False,False,True,False
-8.0,67,6.0,60.0,998.86,0,4.5,False,False,True,False,True,False
28.0,36,9.5,16.0,1010.85,8,7.5,False,True,False,False,False,True
29.0,46,5.0,12.0,1014.49,5,6.0,False,False,True,False,False,False
25.0,42,14.0,60.0,1185.93,1,12.5,True,False,False,False,False,True
26.0,50,6.5,16.0,1025.35,10,9.5,False,False,False,False,False,False
23.0,70,10.5,12.0,1017.13,2,6.5,True,False,False,False,False,True
1.0,94,15.0,88.0,986.81,1,5.0,False,False,True,False,True,False
34.0,91,5.5,95.0,1013.87,0,4.0,False,False,False,False,False,True
26.0,26,5.0,99.0,803.81,1,12.0,True,False,False,True,False,False
-10.0,89,3.5,92.0,980.34,0,2.5,False,False,True,False,True,False
48.0,47,1.5,97.0,932.54,4,17.0,True,False,False,False,True,False
46.0,92,5.5,93.0,1011.82,14,5.0,False,False,True,False,False,True
11.0,85,5.5,59.0,1007.74,0,3.0,False,False,True,False,False,True
20.0,94,13.5,105.0,1025.18,4,7.5,False,False,False,False,False,False
23.0,63,9.5,17.0,1007.1,1,5.5,False,False,False,False,False,True
21.0,34,6.0,7.0,1015.47,9,8.0,False,False,True,False,False,True
42.0,43,4.0,15.0,1013.46,6,8.0,False,False,True,False,False,False
29.0,62,13.0,17.0,1002.81,2,5.0,True,False,False,False,True,False
0.0,76,16.0,60.0,999.71,1,3.5,False,False,True,False,False,True
-1.0,98,8.5,75.0,981.52,0,3.0,False,False,True,False,True,False
53.0,74,3.0,76.0,1012.12,2,11.5,False,False,False,False,False,True
22.0,78,11.0,39.0,1005.32,4,8.0,False,True,False,False,True,False
-2.0,95,3.0,79.0,984.86,1,2.0,False,False,True,False,True,False
39.0,56,9.0,6.0,1026.58,5,8.5,False,False,True,False,False,False
-10.0,99,11.5,80.0,997.2,0,3.5,False,False,True,False,True,False
15.0,77,8.5,60.0,1006.96,1,1.5,True,False,False,False,False,True
7.0,51,9.0,31.0,801.25,8,4.0,False,True,False,True,False,False
29.0,75,8.0,45.0,1001.95,1,8.5,False,False,False,False,False,True
29.0,93,20.0,94.0,1001.26,3,3.5,True,False,False,False,True,False
30.0,94,6.0,73.0,1004.45,1,5.0,False,False,True,False,True,False
41.0,20,1.0,3.0,1014.94,9,5.5,False,False,True,False,False,True
2.0,105,10.5,109.0,990.79,0,3.0,False,False,True,False,True,False
10.0,73,17.5,66.0,1009.7,0,4.0,False,False,False,False,True,False
94.0,95,17.5,91.0,1026.91,6,3.5,False,False,False,False,False,False
33.0,58,7.0,44.0,1018.04,3,5.5,False,False,True,False,True,False
22.0,76,9.5,31.0,1005.45,1,7.5,False,True,False,False,False,True
44.0,39,7.0,17.0,1020.98,7,7.5,True,False,False,False,False,False
24.0,20,5.5,8.0,1022.52,7,5.0,False,True,False,False,False,False
28.0,67,3.0,9.0,1023.54,5,5.0,False,False,True,False,False,False
17.0,55,4.5,25.0,1019.24,4,9.0,True,False,False,False,False,True
28.0,68,3.5,8.0,1017.96,10,5.5,False,False,False,False,False,True
16.0,91,12.5,79.0,1019.07,0,2.5,False,False,True,False,True,False
27.0,46,6.5,8.0,1012.02,8,7.5,False,False,True,False,False,True
-1.0,61,15.0,73.0,996.37,0,2.0,False,False,True,False,True,False
20.0,53,8.0,44.0,1014.36,4,5.0,False,False,True,False,True,False
21.0,75,13.0,12.0,1019.13,3,6.5,False,False,False,False,False,True
36.0,76,19.5,78.0,997.87,1,2.5,False,False,False,False,False,True
32.0,96,9.0,109.0,1013.48,8,3.5,False,False,True,False,False,False
23.0,35,2.0,2.0,1015.41,5,6.5,False,True,False,False,False,False
-2.0,96,1.0,91.0,990.89,0,3.5,False,False,True,False,True,False
32.0,51,11.0,17.0,1008.63,1,7.5,False,False,True,False,False,True
18.0,96,13.0,55.0,1004.65,2,4.5,False,False,False,False,False,True
33.0,68,0.5,13.0,1012.03,8,5.5,True,False,False,False,False,False
26.0,53,13.0,49.0,1076.52,13,19.0,True,False,False,True,False,False
23.0,28,5.0,0.0,1016.71,11,10.0,False,False,True,False,False,True
28.0,61,9.0,25.0,1008.96,1,5.5,True,False,False,False,True,False
38.0,30,6.0,19.0,1028.24,10,7.5,False,False,True,False,False,False
31.0,97,19.5,50.0,1018.59,3,5.0,False,False,False,False,True,False
13.0,79,11.0,63.0,990.71,2,4.5,True,False,False,False,True,False
42.0,55,0.5,1.0,1012.65,6,9.0,False,False,True,False,False,False
0.0,96,21.5,71.0,982.2,4,2.5,False,False,True,False,True,False
26.0,57,1.5,2.0,1010.67,9,9.5,False,True,False,False,False,False
31.0,60,5.0,18.0,1017.88,8,8.5,True,False,False,False,False,False
34.0,44,7.0,13.0,1013.91,10,9.0,False,False,False,False,False,False
24.0,58,1.0,0.0,1029.64,9,6.5,False,False,True,False,False,False
24.0,67,1.5,26.0,1019.73,2,5.0,False,False,True,False,False,True
60.0,70,20.5,77.0,1012.82,7,2.5,False,False,False,False,False,True
21.0,50,5.0,47.0,1010.87,3,9.0,False,False,True,False,False,True
22.0,79,21.0,108.0,999.58,1,3.5,True,False,False,False,True,False
0.0,94,9.0,53.0,984.25,0,5.0,False,False,True,False,True,False
11.0,93,8.0,61.0,1010.05,2,2.0,True,False,False,False,False,True
